RID|Spot
19001|1
19002|2
19002|3
19002|8
19003|10
19003|2
19003|5
19003|9
19004|1
19004|2
19004|4
19004|5
19004|6
19005|2
19005|4
19005|7
19006|2
19006|3
19006|4
19006|9
19007|1
19007|2
19007|3
19007|6
19007|7
19008|1
19009|1
19009|10
19009|2
19009|4
19009|5
19009|6
19009|7
19009|8
19009|9
19010|1
19010|2
19010|4
19010|5
19010|6
19011|1
19011|10
19011|6
19011|7
19012|1
19012|2
19012|3
19012|7
19013|1
19013|4
19013|5
19014|1
19014|6
19015|1
19015|7
19015|8
19016|1
19017|1
19017|2
19017|4
19017|5
19017|6
19017|7
19017|8
19018|1
19018|5
19018|6
19018|7
19019|1
19019|10
19019|2
19019|4
19019|5
19019|6
19019|7
19019|9
19020|1
19020|10
19020|2
19020|3
19020|4
19020|5
19020|6
19020|7
19020|8
19020|9
19021|2
19022|1
19022|6
19023|8
19024|6
19025|1
19025|6
19025|7
19026|1
19026|4
19026|5
19026|8
19027|1
19028|1
19028|6
19029|1
19029|3
19030|2
19030|4
19031|1
19031|2
19031|3
19031|5
19031|7
19032|4
19033|1
19033|2
19033|3
19033|5
19033|7
19034|1
19034|2
19034|5
19034|6
19035|1
19035|2
19035|3
19035|4
19035|5
19035|6
19035|9
19036|1
19036|10
19036|2
19036|4
19036|5
19036|6
19037|10
19038|2
19038|3
19038|4
19038|9
19039|2
19039|4
19039|5
19039|8
19040|4
19040|5
19040|9
19041|1
19041|2
19041|3
19041|4
19041|5
19041|6
19041|8
19041|9
19042|6
19043|2
19044|10
19045|3
19046|1
19046|5
19046|6
19046|7
19047|1
19047|6
19048|1
19049|1
19049|3
19049|4
19049|6
19049|7
19050|3
19051|1
19051|2
19051|3
19051|4
19051|5
19051|6
19052|1
19052|2
19052|5
19052|7
19053|5
19054|9
19055|4
19055|6
19055|7
19056|4
19057|4
19058|2
19058|3
19058|4
19059|1
19059|4
19059|5
19059|7
19060|1
19060|2
19060|7
19061|1
19061|10
19061|2
19061|3
19061|4
19061|9
19062|10
19062|2
19062|3
19062|4
19062|5
19062|7
19062|8
19062|9
19063|2
19064|2
19065|10
19065|2
19065|4
19065|5
19065|8
19065|9
19066|2
19067|2
19067|4
19068|10
19068|2
19068|4
19068|5
19068|8
19068|9
19069|1
19069|2
19069|4
19070|1
19070|2
19070|7
19071|1
19072|1
19072|2
19072|5
19072|7
19073|1
19073|10
19073|2
19073|7
19074|1
19074|10
19074|2
19074|3
19074|4
19074|5
19074|6
19074|7
19074|8
19074|9
19075|1
19075|2
19075|3
19075|4
19075|5
19076|1
19076|10
19076|2
19076|3
19076|4
19076|5
19076|6
19076|7
19076|8
19076|9
19077|2
19077|3
19077|4
19077|9
19078|1
19078|2
19079|1
19079|2
19079|3
19079|4
19080|1
19081|1
19081|2
