ID|EventID|CompanyID|Booth|Date|Time|Hall|RoomNo|PresentCompany|Topic|Speaker|langID|OrderFull|OrderMob|InApplications
1|2425611|242561|2.1R31|2019.5.22|14:00-16:00|2.1|Huacheng|CPM Extrusion Group|High Performance Elements Used in Twin Screw Extruder in High Molecular PE, and Ring Extruder in New Energy Vehicle|Mr. Joerg Mayer-Lutz - Sales Manager|1252|0|0|1,5,999
2|2429941|242994|11.2L31|2019.5.22|10:00-12:00|11.2|9|Kuraray Trading (Shanghai) Co., Ltd.|Kuraray's Solutions to TPE Industry: <br />1. Styrenic Thermoplastic Elastomer - SEPTON™ High Molecular Weight Grade <br />2. Acrylic Block Copolymer - KURARITY™ for Surface Protective Film|-|1252|9|9|1,2,3,4,5,6
3|2428821|242882|10.2G11|2019.5.22|14:00-16:00|10.2|11|1. SABIC <br />2. Sinopec Maoming Petrochemical Company|1. SABIC Dedicated Solutions for Thin Wall Packaging <br />2. Development and Application of Transparent Polypropylene Products|1. Mr. Calvin Chong - TWP MDTS Engineer <br />2. Mr. Jie Tan - Senior Engineer|1252|11|11|2
4|2433871|243387|10.2A61|2019.5.22|10:00-12:00|10.2|5|Emery Oleochemicals|Innovative, Green Additives to Improve Our Environment|1. Dr. Harald Klein - Global Platform Head, Green Polymer Additives <br />2. Dr. Sascha Simon - Global Head New Business Development, Green Polymer Additives <br />3. Dr. Christian Mueller - Global Technical Market Manager, Green Polymer Additives|1252|5|5|1,2,4
5|2422141|242214|13.2E41|2019.5.22|14:00-16:00|13.2|12|Top Polymer|1. Topolymer Innovative TPE Solution in Wet-grip Applications <br />2. Topolymer Innovative Bio-based TPE Solutions|1. Mr. Hunter Deng - R&D Manger <br />2. Mr. Glen Wu - R&D Manager|1252|12|12|1,2,3,5,6
6|2421811|242181|11.2A41|2019.5.21|14:00-16:00|11.2|12|BASF Colors & Effect Co., Ltd.|1. Stretching Color Space, Inspired by Pantone® Living Coral <br />2. New Products Launch|1. Ms. Calla JIANG - Senior Commercial Industry Manager, AP <br />2. Mr. Roger REN, Technical Industry Manager, AP|1252|12|12|1,2,3,6
7|2440221|244022|11.2J15|2019.5.21|14:00-16:00|11.2|11|ADEKA (China) Co., Ltd.|1. Nucleation and Clarification Technologies for Polypropylene Thermoforming Applications <br />2. Advanced Halogen-Free Flame Retardant System for Polyolefin Applications with Additive Combination Technology <br />3. Plasticizers for Rubbers - Introduction of ADK CIZER RS Series|1. Mr. Simizu - Technical Engineer <br />2. Mr. Yokoyama - Technical Engineer <br />3. Mr. Sengoku - Technical Engineer|1252|11|11|1,2,3,4,5
8|2428031|242803|9.2L01|2019.5.22|14:00-16:00|9.2|Baiyun|Farrel Pomini|The Advantages of Processing Carbon Black Masterbatch Applications, Including Conductive Black, on Continuous Mixer|Mr. Alex Ho - Sales Engineer|1252|0|0|1,2,3,4,5,6
9|2463251|246325|9.3D39|2019.5.22|10:00-12:00|9.3|11|Weihai CY Dendrimer Technology Co., Ltd.|Application of Dendrimer Additives in Plastics|Dr. Wusong Li - General Manager|1252|11|11|1,2,3,999
10|2433111|243311|2.2E31|2019.5.22|10:00-12:00|2.2|Baiyun|Jiashan Speck Pumps Systemtechnik Co., Ltd.|Discussion on Industry 4.0 of Traditional Industries in the New Situation|1. Mr. Steve Che - Sales Manager <br />2. Mr. Yong Chen - Sales Manager (Agent)|1252|0|0|5,999
11|2423441|242344|10.2G21|2019.5.22|10:00-12:00|10.2|6|Borouge Pte Ltd|1. Building a More Flexible Plastic with Innovative Solutions <br />2. Anteo™, the New Ingredient for Complete Success|1. Mr. Albert Ou - Senior ADE, Rigid Packaging <br />2. Mr. Allan Yu - Senior ADE, Flexible Packaging|1252|6|6|2,999
12|2432011|243201|12.2B41|2019.5.22|14:00-16:00|12.2|1|Hyosung Chemical Corporation|1. New Products of HYOSUNG CHEMICAL PP in the Vietnam Plant <br />2. PP-R / PP-B that Meets the New GB/T Standards|-|1252|1|1|1,2,3,4,5
